Below Average,Average,96.3,96.9,Strong,Not Enough Data,Very Strong,Not Enough Data,Safety
Above Average,Above Average,96.9,96.5,Not Enough Data,Weak,Not Enough Data,Neutral,Collaborative Teachers
Below Average,Average,97,95.1,Weak,Neutral,Weak,Neutral,Collaborative Teachers
Below Average,Average,95.5,94.7,Weak,Weak,Neutral,Weak,Collaborative Teachers
Far Above Average,Above Average,95.8,95.6,Strong,Neutral,Neutral,Strong,Collaborative Teachers
Average,Average,94.7,96.7,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Safety
Below Average,Above Average,95.8,94.5,Neutral,Very Strong,Neutral,Strong,Collaborative Teachers
Average,Above Average,96.8,96.9,Strong,Neutral,Strong,Neutral,Supportive Environment
Average,Above Average,95.6,96.6,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Safety
Below Average,Average,95.8,95.8,Weak,Neutral,Neutral,Neutral,Involved Families
Far Below Average,Average,94.8,96.1,Not Enough Data,Weak,Not Enough Data,Weak,Collaborative Teachers
Below Average,Above Average,95.9,96.1,Weak,Weak,Weak,Neutral,Collaborative Teachers
Far Below Average,Average,94.1,93.9,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Safety
Above Average,Above Average,96.3,96.5,Strong,Neutral,Strong,Neutral,Supportive Environment
Above Average,Above Average,94.8,95.8,Strong,Neutral,Strong,Strong,Involved Families
Far Below Average,Below Average,94.7,95.3,Neutral,Neutral,Neutral,Weak,Safety
Above Average,Above Average,95.9,95.3,Not Enough Data,Neutral,Not Enough Data,Strong,Collaborative Teachers
Far Below Average,Below Average,95.7,96.7,Weak,Neutral,Weak,Weak,Safety
Below Average,Above Average,93.4,93.7,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Safety
Far Below Average,Below Average,94.9,94.8,Weak,Neutral,Weak,Weak,Safety
Below Average,Average,96.3,96.7,Weak,Neutral,Weak,Neutral,Safety
Below Average,Average,95,93.8,Not Enough Data,Weak,Not Enough Data,Strong,Collaborative Teachers
